UF;CD_UF;CD_MUNICIPIO;MUN;POP_EST;CD_MUN_IBGE;CD_MUN;AREA_MUN;DENS_POP
PB;25.0;4603.0;Conde;29543.0;2504603.0;2504603;171.267;172.5
RN;24.0;12203.0;São José de Mipibu;49693.0;2412203.0;2412203;289.987;171.4
SE;28.0;6404.0;Santana do São Francisco;7530.0;2806404.0;2806404;44.017;171.1
PE;26.0;5509.0;Ferreiros;15794.0;2605509.0;2605509;92.516;170.7
MG;31.0;5608.0;Barbacena;129630.0;3105608.0;3105608;759.186;170.7
PB;25.0;15302.0;Sapé;53309.0;2515302.0;2515302;313.678;169.9
SC;42.0;13203.0;Pomerode;36392.0;4213203.0;4213203;214.299;169.8
PB;25.0;403.0;Alagoa Nova;21724.0;2500403.0;2500403;128.23;169.4
RN;24.0;7104.0;Macaíba;86433.0;2407104.0;2407104;510.092;169.4
RJ;33.0;308.0;Barra do Piraí;98501.0;3300308.0;3300308;584.61;168.5
PB;25.0;1906.0;Belém;16740.0;2501906.0;2501906;99.609;168.1
RS;43.0;6809.0;Encantado;23494.0;4306809.0;4306809;140.006;167.8
BA;29.0;16104.0;Itaparica;20369.0;2916104.0;2916104;121.373;167.8
SC;42.0;2800.0;Braço do Norte;35534.0;4202800.0;4202800;212.045;167.6
SE;28.0;4003.0;Maruim;15975.0;2804003.0;2804003;95.554;167.2
MG;31.0;72004.0;Visconde do Rio Branco;40608.0;3172004.0;3172004;243.351;166.9
PE;26.0;10004.0;Palmares;56615.0;2610004.0;2610004;339.401;166.8
RS;43.0;5355.0;Charqueadas;36109.0;4305355.0;4305355;217.362;166.1
SP;35.0;9700.0;Campos do Jordão;47983.0;3509700.0;3509700;289.981;165.5
PE;26.0;15300.0;Timbaúba;47575.0;2615300.0;2615300;287.683;165.4
GO;52.0;14507.0;Nerópolis;33706.0;5214507.0;5214507;204.713;164.7
PB;25.0;5204.0;Cuitegi;6894.0;2505204.0;2505204;42.091;163.8
SC;42.0;15455.0;Sangão;13567.0;4215455.0;4215455;82.984;163.5
AL;27.0;6307.0;Palmeira dos Índios;73596.0;2706307.0;2706307;450.99;163.2
PR;41.0;22404.0;Rolândia;74935.0;4122404.0;4122404;459.024;163.2
PB;25.0;15930.0;Sertãozinho;5282.0;2515930.0;2515930;32.455;162.7
RS;43.0;17202.0;Santa Rosa;79395.0;4317202.0;4317202;489.38;162.2
PB;25.0;2706.0;Borborema;4231.0;2502706.0;2502706;26.107;162.1
PE;26.0;9709.0;Orobó;22438.0;2609709.0;2609709;138.521;162.0
PR;41.0;19954.0;Pontal do Paraná;32426.0;4119954.0;4119954;200.41;161.8
SP;35.0;18404.0;Guaratinguetá;121710.0;3518404.0;3518404;752.636;161.7
SE;28.0;2700.0;Ilha das Flores;8495.0;2802700.0;2802700;52.693;161.2
SP;35.0;45308.0;Salto de Pirapora;45138.0;3545308.0;3545308;280.412;161.0
RN;24.0;13201.0;Senador Georgino Avelino;4193.0;2413201.0;2413201;26.1;160.7
PE;26.0;4205.0;Catende;33279.0;2604205.0;2604205;208.594;159.5
AL;27.0;8600.0;São Miguel dos Campos;53391.0;2708600.0;2708600;335.683;159.1
SP;35.0;10401.0;Capivari;51318.0;3510401.0;3510401;322.878;158.9
SP;35.0;12209.0;Conchal;29034.0;3512209.0;3512209;182.793;158.8
RS;43.0;16907.0;Santa Maria;282244.0;4316907.0;4316907;1780.194;158.5
MT;51.0;3403.0;Cuiabá;682932.0;5103403.0;5103403;4327.448;157.8
PE;26.0;12703.0;Santa Maria do Cambucá;14533.0;2612703.0;2612703;92.148;157.7
SE;28.0;2502.0;General Maynard;3111.0;2802502.0;2802502;19.793;157.2
SP;35.0;1905.0;Amparo;69717.0;3501905.0;3501905;445.323;156.6
MG;31.0;45901.0;Ouro Branco;40411.0;3145901.0;3145901;258.726;156.2
RS;43.0;12401.0;Montenegro;66295.0;4312401.0;4312401;425.023;156.0
SP;35.0;57303.0;Estiva Gerbi;11566.0;3557303.0;3557303;74.144;156.0
MG;31.0;41108.0;Matozinhos;39291.0;3141108.0;3141108;252.453;155.6
RS;43.0;23002.0;Viamão;232113.0;4323002.0;4323002;1496.506;155.1
MG;31.0;31158.0;Ipaba;17554.0;3131158.0;3131158;113.246;155.0
SP;35.0;29302.0;Matão;80998.0;3529302.0;3529302;524.899;154.3
SP;35.0;56404.0;Vargem Grande do Sul;41226.0;3556404.0;3556404;267.178;154.3
SP;35.0;48005.0;Santo Antônio de Posse;23779.0;3548005.0;3548005;154.133;154.3
SC;42.0;12254.0;Passo de Torres;14284.0;4212254.0;4212254;92.638;154.2
RS;43.0;2352.0;Bom Princípio;13650.0;4302352.0;4302352;88.66;154.0
MG;31.0;39409.0;Manhuaçu;96545.0;3139409.0;3139409;628.318;153.7
AL;27.0;6448.0;Paripueira;14176.0;2706448.0;2706448;92.788;152.8
SP;35.0;2754.0;Araçariguama;22168.0;3502754.0;3502754;145.204;152.7
PE;26.0;13800.0;São Vicente Férrer;17176.0;2613800.0;2613800;112.554;152.6
BA;29.0;28802.0;Santo Estêvão;54940.0;2928802.0;2928802;360.334;152.5
PE;26.0;8305.0;Jupi;15943.0;2608305.0;2608305;104.835;152.1
BA;29.0;29206.0;São Francisco do Conde;40932.0;2929206.0;2929206;269.715;151.8
SP;35.0;51603.0;Serra Negra;30920.0;3551603.0;3551603;203.734;151.8
SC;42.0;19309.0;Videira;58299.0;4219309.0;4219309;384.127;151.8
BA;29.0;13903.0;Ipiaú;42507.0;2913903.0;2913903;280.454;151.6
SC;42.0;6306.0;Guabiruba;26082.0;4206306.0;4206306;172.173;151.5
RJ;33.0;1850.0;Guapimirim;54300.0;3301850.0;3301850;358.443;151.5
BA;29.0;33208.0;Vera Cruz;44978.0;2933208.0;2933208;297.537;151.2
SC;42.0;2057.0;Balneário Barra do Sul;16360.0;4202057.0;4202057;108.914;150.2
SP;35.0;46801.0;Santa Isabel;54586.0;3546801.0;3546801;363.332;150.2
RS;43.0;1636.0;Balneário Pinhal;15371.0;4301636.0;4301636;102.387;150.1
PI;22.0;8007.0;Picos;86228.0;2208007.0;2208007;577.284;149.4
SE;28.0;3609.0;Laranjeiras;24170.0;2803609.0;2803609;162.273;148.9
BA;29.0;1106.0;Amélia Rodrigues;24848.0;2901106.0;2901106;166.872;148.9
PE;26.0;1508.0;Belém de Maria;10829.0;2601508.0;2601508;73.145;148.0
BA;29.0;11204.0;Gandu;33938.0;2911204.0;2911204;229.661;147.8
RS;43.0;21709.0;Três Coroas;24420.0;4321709.0;4321709;165.285;147.7
GO;52.0;50.0;Abadia de Goiás;21165.0;5200050.0;5200050;143.357;147.6
RN;24.0;5009.0;Jaçanã;8051.0;2405009.0;2405009;54.561;147.6
RS;43.0;8102.0;Feliz;13979.0;4308102.0;4308102;94.832;147.4
RN;24.0;4200.0;Goianinha;28212.0;2404200.0;2404200;192.279;146.7
SP;35.0;27009.0;Lindóia;7147.0;3527009.0;3527009;48.756;146.6
RN;24.0;12500.0;São Miguel;24329.0;2412500.0;2412500;166.233;146.4
MA;21.0;8207.0;Pedreiras;38267.0;2108207.0;2108207;262.066;146.0
TO;17.0;21000.0;Palmas;323625.0;1721000.0;1721000;2227.329;145.3
AL;27.0;9301.0;União dos Palmares;60874.0;2709301.0;2709301;420.376;144.8
PB;25.0;3001.0;Caaporã;21865.0;2503001.0;2503001;151.018;144.8
BA;29.0;30501.0;Serrinha;84428.0;2930501.0;2930501;583.314;144.7
AL;27.0;2207.0;Coqueiro Seco;5700.0;2702207.0;2702207;39.608;143.9
SC;42.0;19507.0;Xanxerê;54194.0;4219507.0;4219507;377.426;143.6
RN;24.0;7708.0;Montanhas;11774.0;2407708.0;2407708;82.214;143.2
RS;43.0;1008.0;Arroio do Meio;22490.0;4301008.0;4301008;157.088;143.2
SP;35.0;18602.0;Guariba;38609.0;3518602.0;3518602;270.289;142.8
SP;35.0;22604.0;Itapira;73919.0;3522604.0;3522604;518.416;142.6
PB;25.0;9107.0;Mari;22126.0;2509107.0;2509107;155.265;142.5
SP;35.0;44004.0;Rio das Pedras;32267.0;3544004.0;3544004;226.657;142.4
PE;26.0;2704.0;Buenos Aires;13254.0;2602704.0;2602704;93.187;142.2
BA;29.0;29305.0;São Gonçalo dos Campos;41909.0;2929305.0;2929305;294.768;142.2
CE;23.0;12304.0;São Benedito;49829.0;2312304.0;2312304;350.847;142.0
BA;29.0;29602.0;Sapeaçu;18609.0;2929602.0;2929602;131.218;141.8
SC;42.0;8450.0;Itapoá;34546.0;4208450.0;4208450;245.394;140.8
AL;27.0;6901.0;Pilar;36499.0;2706901.0;2706901;259.614;140.6
SC;42.0;6009.0;Governador Celso Ramos;17920.0;4206009.0;4206009;127.556;140.5
SP;35.0;31308.0;Monte Alto;48725.0;3531308.0;3531308;346.95;140.4
PR;41.0;20804.0;Quatro Barras;25109.0;4120804.0;4120804;180.471;139.1
SP;35.0;10302.0;Capela do Alto;23597.0;3510302.0;3510302;169.89;138.9
PB;25.0;8604.0;Lucena;13019.0;2508604.0;2508604;93.8;138.8
PB;25.0;8901.0;Mamanguape;46719.0;2508901.0;2508901;337.434;138.5
PB;25.0;15971.0;Sobrado;8579.0;2515971.0;2515971;61.953;138.5
RS;43.0;13375.0;Nova Santa Rita;30121.0;4313375.0;4313375;218.153;138.1
MG;31.0;15300.0;Cataguases;67872.0;3115300.0;3115300;491.767;138.0
PR;41.0;4303.0;Campo Mourão;103340.0;4104303.0;4104303;749.637;137.9
RS;43.0;22541.0;Vale Real;6213.0;4322541.0;4322541;45.085;137.8
PR;41.0;8403.0;Francisco Beltrão;101302.0;4108403.0;4108403;735.111;137.8
AL;27.0;5200.0;Messias;15707.0;2705200.0;2705200;114.156;137.6
PB;25.0;13901.0;São Bento;33700.0;2513901.0;2513901;245.84;137.1
PE;26.0;708.0;Aliança;37372.0;2600708.0;2600708;272.773;137.0
RS;43.0;4804.0;Carlos Barbosa;31528.0;4304804.0;4304804;230.061;137.0
PB;25.0;908.0;Arara;12496.0;2500908.0;2500908;91.306;136.9
SP;35.0;55406.0;Ubatuba;96598.0;3555406.0;3555406;708.105;136.4
SP;35.0;6359.0;Bertioga;66873.0;3506359.0;3506359;491.546;136.0
CE;23.0;10209.0;Paracuru;41447.0;2310209.0;2310209;304.734;136.0
SP;35.0;24808.0;Jales;50017.0;3524808.0;3524808;368.574;135.7
RJ;33.0;2254.0;Itatiaia;32694.0;3302254.0;3302254;241.035;135.6
ES;32.0;5069.0;Venda Nova do Imigrante;25168.0;3205069.0;3205069;185.909;135.4
PB;25.0;11707.0;Pilõezinhos;5514.0;2511707.0;2511707;40.908;134.8
SP;35.0;27108.0;Lins;76729.0;3527108.0;3527108;570.058;134.6
SP;35.0;34302.0;Orlândia;39193.0;3534302.0;3534302;291.765;134.3
PA;15.0;8209.0;Vigia;53806.0;1508209.0;1508209;401.589;134.0
MG;31.0;40704.0;Mateus Leme;40239.0;3140704.0;3140704;301.383;133.5
SP;35.0;15509.0;Fernandópolis;73286.0;3515509.0;3515509;549.797;133.3
SC;42.0;17006.0;São Ludgero;14211.0;4217006.0;4217006;106.765;133.1
RN;24.0;8003.0;Mossoró;278034.0;2408003.0;2408003;2099.334;132.4
PR;41.0;27700.0;Toledo;158620.0;4127700.0;4127700;1198.049;132.4
CE;23.0;7254.0;Jijoca de Jericoacoara;27662.0;2307254.0;2307254;209.029;132.3
SC;42.0;9409.0;Laguna;43992.0;4209409.0;4209409;333.26;132.0
